Pilers 1,2024-02-26 00:12:35.480180
Scissors 2,2024-02-26 00:12:39.404838
Scissors 2,2024-02-26 00:17:48.174568
Pilers 1,2024-02-26 00:17:50.812117
Scissors 2,2024-02-26 00:17:53.776208
Scissors 2,2024-02-26 00:19:55.259808
Pilers 1,2024-02-26 00:19:58.499965
Scissors 2,2024-02-26 00:20:01.972074
Scissors 2,2024-02-26 00:25:01.737782
Scissors 2,2024-02-26 00:37:21.806291
Pilers 1,2024-02-26 00:37:25.046957
Pilers 1,2024-02-26 00:37:25.691180
Scissors 2,2024-02-26 00:37:43.265517
Pilers 1,2024-02-26 00:53:39.852852
Scissors 2,2024-02-26 00:53:42.434838
Pilers 1,2024-02-26 00:54:50.068714
Scissors 2,2024-02-26 00:54:52.115900
Pilers 1,2024-02-26 00:54:54.496783
Scissors 2,2024-02-26 01:32:14.840073
user.takaoka,2024-02-26 02:06:59.769707
user.takaoka,2024-02-26 02:14:07.119114
user.takaoka,2024-02-26 02:14:48.570451
user.takaoka,2024-02-26 02:14:57.253414
user.takaoka,2024-02-26 02:15:06.644910
user.takaoka,2024-02-26 02:16:11.489578
user.takaoka,2024-02-26 02:16:19.468398
user.nishiyama,2024-02-26 02:29:18.862580
2,2024-02-26 03:00:50.421264
